id,pid,ms_subclass,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,saleprice,overall_qual * gr_liv_area,exter_qual * gr_liv_area,gr_liv_area * kitchen_qual,bsmt_qual * gr_liv_area,overall_qual * 1st_flr_sf,overall_qual * kitchen_qual,overall_qual * exter_qual,overall_qual^2,overall_qual * total_bsmt_sf,overall_qual * garage_area,overall_qual * garage_cars,total_bsmt_sf * gr_liv_area,overall_qual * bsmt_qual,overall_qual * year_built,overall_qual * garage_yr_blt,overall_qual * totrms_abvgrd,gr_liv_area * garage_area,overall_qual * year_remod/add,gr_liv_area * garage_cars,garage_area * garage_cars,totrms_abvgrd * gr_liv_area,1st_flr_sf * total_bsmt_sf,garage_yr_blt * year_built,total_area,ms_zoning_C (all),ms_zoning_FV,ms_zoning_I (all),ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,condition_1_Feedr,condition_1_Norm,condition_1_PosA,condition_1_PosN,condition_1_RRAe,condition_1_RRAn,condition_1_RRNe,condition_1_RRNn,condition_2_Feedr,condition_2_Norm,condition_2_PosA,condition_2_PosN,condition_2_RRAe,condition_2_RRAn,condition_2_RRNn,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,exterior_1st_AsphShn,exterior_1st_BrkComm,exterior_1st_BrkFace,exterior_1st_CBlock,exterior_1st_CemntBd,exterior_1st_HdBoard,exterior_1st_ImStucc,exterior_1st_MetalSd,exterior_1st_Plywood,exterior_1st_Stone,exterior_1st_Stucco,exterior_1st_VinylSd,exterior_1st_Wd Sdng,exterior_1st_WdShing,exterior_2nd_AsphShn,exterior_2nd_Brk Cmn,exterior_2nd_BrkFace,exterior_2nd_CBlock,exterior_2nd_CmentBd,exterior_2nd_HdBoard,exterior_2nd_ImStucc,exterior_2nd_MetalSd,exterior_2nd_Plywood,exterior_2nd_Stone,exterior_2nd_Stucco,exterior_2nd_VinylSd,exterior_2nd_Wd Sdng,exterior_2nd_Wd Shng,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,sale_type_WD 
10,1044,527451290,160,21.0,1680,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,3,232.0,3,3,CBlock,3,3,1,5,387.0,1,0.0,96.0,483.0,GasA,3,1,4,483,504,0,987,0.0,0.0,1,1,2,1,3,4,Typ,0,0,1,1971.0,1,1.0,264.0,3,3,Y,0,0,0,0,0,0,0,0,0,0,7,2008,85400,5922,2961,2961,2961,2898,18,18,36,2898.0,1584.0,6.0,476721.0,18,11826,11826.0,24,260568.0,11826,987.0,264.0,3948,233289.0,3884841.0,2721.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2752,906380150,20,64.0,7488,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,7,5,2005,2005,Gable,CompShg,0,0.0,4,3,PConc,4,3,3,6,393.0,1,0.0,815.0,1208.0,GasA,5,1,4,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,Typ,0,0,5,2005.0,2,2.0,632.0,3,3,Y,105,58,0,0,0,0,0,0,0,0,2,2006,183600,8456,4832,4832,4832,8456,28,28,49,8456.0,4424.0,14.0,1459264.0,28,14035,14035.0,42,763456.0,14035,2416.0,1264.0,7248,1459264.0,4020025.0,4256.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12,807,906226060,70,120.0,26400,Pave,0,Reg,Bnk,AllPub,FR2,Gtl,1Fam,2Story,5,7,1880,2007,Gable,CompShg,0,0.0,4,3,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,5,1,4,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,Mod,1,3,5,1900.0,1,2.0,576.0,3,3,P,0,0,0,0,0,0,0,0,0,0,6,2009,131000,10080,8064,6048,0,6440,15,20,25,0.0,2880.0,10.0,0.0,0,9400,9500.0,35,1161216.0,10035,4032.0,1152.0,14112,0.0,3572000.0,4608.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,1177,533236070,160,24.0,2645,Pave,1,Reg,Lvl,AllPub,Inside,Gtl,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,3,456.0,4,3,PConc,4,3,1,6,813.0,1,0.0,147.0,960.0,GasA,5,1,4,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,Typ,0,0,1,2000.0,1,2.0,480.0,3,3,Y,169,0,0,0,0,0,0,0,0,0,12,2008,200000,12856,6428,6428,6428,7696,32,32,64,7680.0,3840.0,16.0,1542720.0,32,15992,16000.0,56,771360.0,16000,3214.0,960.0,11249,923520.0,3998000.0,4654.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,1480,907418040,20,74.0,9627,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,7,5,2007,2007,Gable,CompShg,0,0.0,4,3,PConc,4,3,3,6,24.0,1,0.0,1327.0,1351.0,GasA,5,1,4,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,Typ,0,0,5,2007.0,2,2.0,610.0,3,3,Y,0,50,0,0,0,0,0,0,0,0,6,2008,193000,9527,5444,5444,5444,9527,28,28,49,9457.0,4270.0,14.0,1838711.0,28,14049,14049.0,42,830210.0,14049,2722.0,1220.0,8166,1838711.0,4028049.0,4683.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
15,324,923202105,20,93.0,10114,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,2004,2005,Gable,CompShg,0,0.0,3,3,PConc,5,3,3,1,0.0,1,0.0,1430.0,1430.0,GasA,5,1,4,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,Typ,0,0,5,2004.0,2,2.0,624.0,3,3,Y,0,0,0,0,0,0,0,0,0,0,3,2010,173500,7150,4290,5720,7150,7150,20,15,25,7150.0,3120.0,10.0,2044900.0,25,10020,10020.0,35,892320.0,10025,2860.0,1248.0,10010,2044900.0,4016016.0,4914.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,1311,902301140,70,34.0,4571,Pave,2,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,5,5,1916,1950,Gable,CompShg,0,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,624.0,624.0,GasA,2,0,4,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,Typ,0,0,1,1916.0,1,3.0,513.0,2,2,Y,0,0,96,0,0,0,0,0,0,0,5,2008,98000,6720,4032,4032,4032,3120,15,15,25,3120.0,2565.0,15.0,838656.0,15,9580,9580.0,35,689472.0,9750,4032.0,1539.0,9408,389376.0,3671056.0,3825.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,770,905101490,20,80.0,8816,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,5,6,1963,1963,Gable,CompShg,0,0.0,3,3,PConc,3,3,1,3,651.0,1,0.0,470.0,1121.0,GasA,3,1,4,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,Typ,0,0,1,1963.0,1,2.0,480.0,3,3,Y,0,80,0,0,0,0,0,3,0,0,6,2009,139000,5605,3363,3363,3363,5605,15,15,25,5605.0,2400.0,10.0,1256641.0,15,9815,9815.0,25,538080.0,9815,2242.0,960.0,5605,1256641.0,3853369.0,3843.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
18,2063,905107140,20,71.0,8197,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,5,1977,1977,Gable,CompShg,3,148.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,660.0,660.0,GasA,5,1,4,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,Typ,1,3,5,1977.0,2,2.0,528.0,3,3,Y,138,0,0,0,0,0,0,3,0,0,4,2007,143500,7710,3855,3855,3855,7710,18,18,36,3960.0,3168.0,12.0,848100.0,18,11862,11862.0,42,678480.0,11862,2570.0,1056.0,8995,848100.0,3908529.0,3758.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19,69,528458070,60,72.0,8640,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,5,2009,2009,Gable,CompShg,0,0.0,3,3,PConc,4,3,2,6,24.0,1,0.0,732.0,756.0,GasA,5,1,4,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,Typ,0,0,5,2009.0,1,2.0,614.0,3,3,Y,169,45,0,0,0,0,0,0,0,0,6,2010,215200,10829,4641,6188,6188,5348,28,21,49,5292.0,4298.0,14.0,1169532.0,28,14063,14063.0,49,949858.0,14063,3094.0,1228.0,10829,577584.0,4036081.0,4464.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
20,2062,905106150,20,109.0,8724,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,1968,1968,Gable,CompShg,0,0.0,3,3,CBlock,4,3,1,4,492.0,1,0.0,402.0,894.0,GasA,4,1,4,894,0,0,894,0.0,0.0,1,0,3,1,3,5,Typ,1,1,5,1968.0,3,2.0,450.0,3,3,Y,0,0,0,0,0,0,0,0,0,0,5,2007,129000,4470,2682,2682,3576,4470,15,15,25,4470.0,2250.0,10.0,799236.0,20,9840,9840.0,25,402300.0,9840,1788.0,900.0,4470,799236.0,3873024.0,3132.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
21,351,527131030,120,40.0,5664,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,0,0.0,4,3,PConc,4,3,1,6,1158.0,1,0.0,343.0,1501.0,GasA,5,1,4,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,Typ,1,5,5,2000.0,3,2.0,499.0,3,3,Y,212,59,0,0,0,0,0,0,0,0,10,2009,278000,13272,6636,8295,6636,13272,40,32,64,12008.0,3992.0,16.0,2490159.0,32,16000,16000.0,40,827841.0,16000,3318.0,998.0,8295,2490159.0,4000000.0,5318.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
